,DATE,TOTAL_FATALITIES
1017,1948-02-12,12.0
1018,1948-02-20,7.0
1019,1948-02-21,14.0
1020,1948-02-23,12.0
1021,1948-02-25,2.0
1022,1948-02-27,23.0
1023,1948-03-02,4.0
1024,1948-03-02,20.0
1025,1948-03-07,4.0
1026,1948-03-10,12.0
1027,1948-03-12,30.0
1028,1948-03-13,6.0
1029,1948-03-15,14.0
1030,1948-03-27,19.0
1031,1948-04-05,14.0
1032,1948-04-15,30.0
1033,1948-04-18,37.0
1034,1948-04-24,28.0
1035,1948-05-13,4.0
1036,1948-05-13,31.0
1037,1948-05-15,13.0
1038,1948-05-16,2.0
1039,1948-05-20,3.0
1040,1948-05-22,8.0
1041,1948-05-25,4.0
1042,1948-06-10,6.0
1043,1948-06-17,43.0
1044,1948-06-17,25.0
1045,1948-06-26,1.0
1046,1948-07-01,8.0
1047,1948-07-04,39.0
1048,1948-07-07,16.0
1049,1948-07-14,5.0
1050,1948-07-16,25.0
1051,1948-07-24,29.0
1052,1948-07-29,19.0
1053,1948-07-29,18.0
1054,1948-08-01,4.0
1055,1948-08-01,52.0
1056,1948-08-09,2.0
1057,1948-08-20,3.0
1058,1948-08-29,37.0
1059,1948-08-31,13.0
1060,1948-09-02,13.0
1061,1948-09-30,15.0
1062,1948-10-02,19.0
1063,1948-10-12,10.0
1064,1948-10-21,40.0
